,Team,TotPts,2012 Off Pts/G,2012 Off RushYds,2012 Off RYds/G,2012 Off PassYds,2012 Off PYds/G,2012 Off TotYds,2012 Off Yds/G
31,Arizona CardinalsArizona,250,15.6,1204,75.2,3005,187.8,4209,263.1
7,Atlanta FalconsAtlanta,419,26.2,1397,87.3,4509,281.8,5906,369.1
15,Baltimore RavensBaltimore,398,24.9,1901,118.8,3739,233.7,5640,352.5
18,Buffalo BillsBuffalo,344,21.5,2217,138.6,3269,204.3,5486,342.9
11,Carolina PanthersCarolina,357,22.3,2088,130.5,3683,230.2,5771,360.7
27,Chicago BearsChicago,375,23.4,1970,123.1,2999,187.4,4969,310.6
21,Cincinnati BengalsCincinnati,391,24.4,1745,109.1,3578,223.6,5323,332.7
24,Cleveland BrownsCleveland,302,18.9,1593,99.6,3435,214.7,5028,314.2
5,Dallas CowboysDallas,376,23.5,1265,79.1,4729,295.6,5994,374.6
3,Denver BroncosDenver,481,30.1,1832,114.5,4534,283.4,6366,397.9
2,Detroit LionsDetroit,372,23.2,1613,100.8,4927,307.9,6540,408.8
12,Green Bay PackersGreen Bay,433,27.1,1702,106.4,4049,253.1,5751,359.4
6,Houston TexansHouston,416,26,2123,132.7,3830,239.4,5953,372.1
9,Indianapolis ColtsIndianapolis,357,22.3,1671,104.4,4128,258,5799,362.4
28,Jacksonville JaguarsJacksonville,255,15.9,1369,85.6,3419,213.7,4788,299.2
23,Kansas City ChiefsKansas City,211,13.2,2395,149.7,2713,169.6,5108,319.2
26,Miami DolphinsMiami,288,18,1802,112.6,3182,198.9,4984,311.5
19,Minnesota VikingsMinnesota,379,23.7,2634,164.6,2751,171.9,5385,336.6
0,New England PatriotsNew England,557,34.8,2184,136.5,4662,291.4,6846,427.9
1,New Orleans SaintsNew Orleans,461,28.8,1577,98.6,4997,312.3,6574,410.9
13,New York GiantsNY Giants,429,26.8,1862,116.4,3825,239.1,5687,355.4
29,New York JetsNY Jets,281,17.6,1896,118.5,2891,180.7,4787,299.2
17,Oakland RaidersOakland,290,18.1,1420,88.8,4084,255.2,5504,344
14,Philadelphia EaglesPhiladelphia,280,17.5,1874,117.1,3791,236.9,5665,354.1
20,Pittsburgh SteelersPittsburgh,336,21,1537,96.1,3787,236.7,5324,332.8
30,San Diego ChargersSan Diego,350,21.9,1461,91.3,3295,205.9,4756,297.2
10,San Francisco 49ersSan Francisco,397,24.8,2491,155.7,3298,206.1,5789,361.8
16,Seattle SeahawksSeattle,412,25.8,2579,161.2,3031,189.4,5610,350.6
22,St. Louis RamsSt. Louis,299,18.7,1714,107.1,3550,221.9,5264,329
8,Tampa Bay BuccaneersTampa Bay,389,24.3,1837,114.8,3983,248.9,5820,363.8
25,Tennessee TitansTennessee,330,20.6,1687,105.4,3323,207.7,5010,313.1
4,Washington RedskinsWashington,436,27.2,2709,169.3,3422,213.9,6131,383.2
