,Team,Tot/Pts,2022 Off Pts/G,2022 Off RushYds,2022 Off RYds/G,2022 Off PassYds,2022 Off PYds/G,2022 Off TotYds,2022 Off Yds/G
21,Arizona CardinalsArizona,340,20,1873,110.2,3626,213.3,5499,323.5
23,Atlanta FalconsAtlanta,365,21.5,2718,159.9,2699,158.8,5417,318.6
15,Baltimore RavensBaltimore,350,20.6,2720,160,3040,178.8,5760,338.8
1,Buffalo BillsBuffalo,455,28.4,2232,139.5,4129,258.1,6361,397.6
28,Carolina PanthersCarolina,347,20.4,2210,130,2996,176.2,5206,306.2
27,Chicago BearsChicago,326,19.2,3014,177.3,2219,130.5,5233,307.8
7,Cincinnati BengalsCincinnati,418,26.1,1528,95.5,4240,265,5768,360.5
13,Cleveland BrownsCleveland,361,21.2,2490,146.5,3444,202.6,5934,349.1
10,Dallas CowboysDallas,467,27.5,2298,135.2,3736,219.8,6034,354.9
20,Denver BroncosDenver,287,16.9,1935,113.8,3592,211.3,5527,325.1
3,Detroit LionsDetroit,453,26.6,2179,128.2,4281,251.8,6460,380
16,Green Bay PackersGreen Bay,370,21.8,2113,124.3,3632,213.6,5745,337.9
30,Houston TexansHouston,289,17,1476,86.8,3344,196.7,4820,283.5
26,Indianapolis ColtsIndianapolis,289,17,1866,109.8,3432,201.9,5298,311.6
9,Jacksonville JaguarsJacksonville,404,23.8,2116,124.5,3959,232.9,6075,357.4
0,Kansas City ChiefsKansas City,496,29.2,1970,115.9,5062,297.8,7032,413.6
11,Las Vegas RaidersLas Vegas,395,23.2,2059,121.1,3934,231.4,5993,352.5
8,Los Angeles ChargersLA Chargers,391,23,1524,89.6,4584,269.6,6108,359.3
31,Los Angeles RamsLA Rams,307,18.1,1661,97.7,3108,182.8,4769,280.5
5,Miami DolphinsMiami,397,23.4,1686,99.2,4511,265.4,6197,364.5
6,Minnesota VikingsMinnesota,424,24.9,1661,97.7,4484,263.8,6145,361.5
25,New England PatriotsNew England,364,21.4,1812,106.6,3536,208,5348,314.6
18,New Orleans SaintsNew Orleans,330,19.4,1982,116.6,3692,217.2,5674,333.8
17,New York GiantsNY Giants,365,21.5,2519,148.2,3157,185.7,5676,333.9
24,New York JetsNY Jets,296,17.4,1686,99.2,3723,219,5409,318.2
2,Philadelphia EaglesPhiladelphia,477,28.1,2509,147.6,4105,241.5,6614,389.1
22,Pittsburgh SteelersPittsburgh,308,18.1,2073,121.9,3411,200.6,5484,322.6
4,San Francisco 49ersSan Francisco,450,26.5,2360,138.8,3856,226.8,6216,365.6
12,Seattle SeahawksSeattle,407,23.9,2042,120.1,3934,231.4,5976,351.5
14,Tampa Bay BuccaneersTampa Bay,313,18.4,1308,76.9,4586,269.8,5894,346.7
29,Tennessee TitansTennessee,298,17.5,2131,125.4,2914,171.4,5045,296.8
19,Washington CommandersWashington,321,18.9,2143,126.1,3472,204.2,5615,330.3
